position=<-31761,  10798> velocity=< 3, -1>
position=<-10479, -21098> velocity=< 1,  2>
position=<-21091,  32052> velocity=< 2, -3>
position=<-31745, -52982> velocity=< 3,  5>
position=<-31752, -10467> velocity=< 3,  1>
position=< 53317, -52988> velocity=<-5,  5>
position=< 32032,  10794> velocity=<-3, -1>
position=<-42378,  42684> velocity=< 4, -4>
position=< 21389,  21429> velocity=<-2, -2>
position=<-21098, -42349> velocity=< 2,  4>
position=<-42355,  10795> velocity=< 4, -1>
position=< 32043,  42682> velocity=<-3, -4>
position=< 10755,  53313> velocity=<-1, -5>
position=< 53267,  21427> velocity=<-5, -2>
position=< 53300,  42686> velocity=<-5, -4>
position=<-42354,  21426> velocity=< 4, -2>
position=< 21409, -10463> velocity=<-2,  1>
position=<-21135,  42688> velocity=< 2, -4>
position=< 32039, -42354> velocity=<-3,  4>
position=<-31717, -21091> velocity=< 3,  2>
position=< 53323,  32058> velocity=<-5, -3>
position=< 21412,  32052> velocity=<-2, -3>
position=< 53308,  10795> velocity=<-5, -1>
position=<-53020, -31727> velocity=< 5,  3>
position=< 10791,  21428> velocity=<-1, -2>
position=<-31741, -10461> velocity=< 3,  1>
position=< 42649,  32058> velocity=<-4, -3>
position=< 10755, -52979> velocity=<-1,  5>
position=<-21114,  10792> velocity=< 2, -1>
position=<-21143, -10461> velocity=< 2,  1>
position=< 32052,  53320> velocity=<-3, -5>
position=<-10470,  53316> velocity=< 1, -5>
position=<-21092, -31724> velocity=< 2,  3>
position=<-10465,  21428> velocity=< 1, -2>
position=< 32036, -21097> velocity=<-3,  2>
position=< 32007, -52985> velocity=<-3,  5>
position=< 42669, -21091> velocity=<-4,  2>
position=< 42669, -10467> velocity=<-4,  1>
position=< 53283,  32059> velocity=<-5, -3>
position=<-10505,  10796> velocity=< 1, -1>
position=< 53302, -21098> velocity=<-5,  2>
position=< 21394,  21422> velocity=<-2, -2>
position=< 53317,  10792> velocity=<-5, -1>
position=<-10476, -10468> velocity=< 1,  1>
position=<-42387, -31725> velocity=< 4,  3>
position=< 42697,  53316> velocity=<-4, -5>
position=<-42376,  10797> velocity=< 4, -1>
position=<-31724, -21098> velocity=< 3,  2>
position=< 53267,  42683> velocity=<-5, -4>
position=< 32023,  10794> velocity=<-3, -1>
position=<-10452, -31727> velocity=< 1,  3>
position=<-21143,  32057> velocity=< 2, -3>
position=< 32033,  21427> velocity=<-3, -2>
position=<-10457,  32053> velocity=< 1, -3>
position=<-21092, -31724> velocity=< 2,  3>
position=<-10500, -42357> velocity=< 1,  4>
position=< 42645, -31722> velocity=<-4,  3>
position=< 10803, -21093> velocity=<-1,  2>
position=<-10492, -31720> velocity=< 1,  3>
position=< 42650, -21089> velocity=<-4,  2>
position=< 53267, -42357> velocity=<-5,  4>
position=< 21428,  21426> velocity=<-2, -2>
position=<-31725,  10794> velocity=< 3, -1>
position=<-21102, -31721> velocity=< 2,  3>
position=<-42347,  10793> velocity=< 4, -1>
position=< 42654, -42358> velocity=<-4,  4>
position=< 42671, -10464> velocity=<-4,  1>
position=<-53025, -21094> velocity=< 5,  2>
position=< 21410,  42682> velocity=<-2, -4>
position=< 42669, -31725> velocity=<-4,  3>
position=< 53278,  53312> velocity=<-5, -5>
position=< 53299,  21430> velocity=<-5, -2>
position=< 32035, -31726> velocity=<-3,  3>
position=< 21393, -31724> velocity=<-2,  3>
position=<-21091, -10461> velocity=< 2,  1>
position=<-10504, -21098> velocity=< 1,  2>
position=< 42650, -21096> velocity=<-4,  2>
position=<-10481,  53314> velocity=< 1, -5>
position=< 21436,  42686> velocity=<-2, -4>
position=<-42347, -31725> velocity=< 4,  3>
position=< 42693, -31728> velocity=<-4,  3>
position=<-21111,  10798> velocity=< 2, -1>
position=< 32063,  21424> velocity=<-3, -2>
position=< 21434, -10468> velocity=<-2,  1>
position=< 21401, -31727> velocity=<-2,  3>
position=< 21420,  42687> velocity=<-2, -4>
position=<-10500, -21090> velocity=< 1,  2>
position=<-10485, -31725> velocity=< 1,  3>
position=< 32063, -42356> velocity=<-3,  4>
position=< 21406, -52987> velocity=<-2,  5>
position=<-31732,  53318> velocity=< 3, -5>
position=<-42361, -10463> velocity=< 4,  1>
position=<-31713, -31724> velocity=< 3,  3>
position=<-10468, -21097> velocity=< 1,  2>
position=<-10492,  32060> velocity=< 1, -3>
position=< 42694, -10464> velocity=<-4,  1>
position=<-42403, -42351> velocity=< 4,  4>
position=< 42661,  42690> velocity=<-4, -4>
position=<-53017, -21091> velocity=< 5,  2>
position=< 32056,  21426> velocity=<-3, -2>
position=< 10805,  42682> velocity=<-1, -4>
position=< 53299, -21089> velocity=<-5,  2>
position=<-31765,  42685> velocity=< 3, -4>
position=< 21394,  53312> velocity=<-2, -5>
position=< 10800,  42690> velocity=<-1, -4>
position=< 53309,  10797> velocity=<-5, -1>
position=< 53325,  42686> velocity=<-5, -4>
position=< 53323,  32052> velocity=<-5, -3>
position=< 21377, -52988> velocity=<-2,  5>
position=<-10505, -42358> velocity=< 1,  4>
position=< 21389, -31724> velocity=<-2,  3>
position=< 32017, -10464> velocity=<-3,  1>
position=< 42685,  10794> velocity=<-4, -1>
position=< 53279,  53312> velocity=<-5, -5>
position=< 32048, -52985> velocity=<-3,  5>
position=< 21385,  10797> velocity=<-2, -1>
position=< 53267,  32055> velocity=<-5, -3>
position=<-21143,  32061> velocity=< 2, -3>
